,Brand,Screen_Size(inches),SR_Height,SR_Width,Pixel_Density,Weight(gr),Thickness(mm),Battery_Capacity(mAh),Processor_Clock_Speed,Price_Sale
0,Xiaomi,6.292953522426344,3832,1922,495,160.85580674069183,10.00820560517516,5534,1.1898298191806915,799.4816202598579
1,OnePlus,6.329884868165599,3573,3003,346,226.01706678088146,7.185694368049478,2310,1.818920181403232,1075.2597046035748
2,Samsung,4.060633068404128,2465,2004,403,136.16666112191842,11.960696632699332,5818,2.962226187249236,872.6909039396473
3,Samsung,4.913970622429724,2762,1526,367,290.5680130043378,7.3091918317501845,4056,1.4665837733250846,967.7064940100942
4,OnePlus,7.2671908284599205,1324,2598,387,185.54102824870824,7.677567761160061,3125,3.110436237504801,1076.8242777038763
5,Xiaomi,5.4315160540221745,2476,2256,192,181.22075655570697,7.006949615206251,5027,1.833522329072224,954.8575939050063
6,OnePlus,6.644934199266363,3473,2628,382,194.18921142360693,9.73469451216069,5877,2.091644178240066,535.5008723023512
7,OnePlus,5.836665278109367,1358,2032,178,191.43140405050764,5.818888341951127,3818,1.6331262957696824,566.9097020221717
8,Xiaomi,6.333114468592922,1562,2404,256,291.0616027698203,7.781562887780909,3493,1.261646255134369,1150.7236120385687
9,Xiaomi,7.050718180148498,3374,1866,280,249.48990498903925,10.429376998187157,4958,1.5519895914140545,487.9682699498991
10,Samsung,4.535444607259124,2941,2113,249,297.92101424290854,9.92209192390072,5984,3.428355272137316,1007.6716078907228
11,OnePlus,4.401763629725136,2042,1808,410,146.3105828081495,9.057744942366995,5857,1.5353003466382746,1121.6588752284479
12,Samsung,7.2292124666555235,2900,1938,223,227.04910413064357,9.829937416964945,5595,2.257477993620738,1240.521523422581
13,Xiaomi,4.331143973689382,3455,2304,260,118.98799942966704,5.842721303082634,2446,1.9162373117434623,891.0173033494007
14,Samsung,4.123738467196108,3332,2791,589,285.22178975815683,11.874805977930246,5511,2.6310508393517296,607.3450549559541
15,Samsung,4.650008524070094,1626,747,236,244.39269666617938,11.632307432929396,4955,2.605631878211827,449.68165347100893
16,OnePlus,4.83886606463029,1647,3162,591,248.21714740513414,5.032499892659067,4987,2.6879274665895014,887.8105320932787
17,OnePlus,6.656427802782876,2420,3016,209,213.54898567057444,5.446534669822329,4933,2.9705003989067644,1214.2818784746337
18,Samsung,5.392995657094709,1481,2666,248,250.91367740969747,10.628519210579036,5190,1.3393781854007862,769.5440273604901
19,OnePlus,5.007187444150866,2255,2775,176,163.88346124771203,11.837329468955453,3140,2.879251163830239,515.8836466211557
20,Xiaomi,6.174254241094385,3402,2443,568,273.4136015570873,11.411651823676323,5907,1.9727651056535787,1155.8554159427736
21,OnePlus,5.254780594548299,3240,2053,461,199.25130836925717,10.794141823083702,2337,3.1616178490540685,718.436600683943
22,Samsung,5.787886054793388,2047,1198,391,222.25445974867836,7.77383275380883,2335,2.535773416740726,991.2528803856404
23,OnePlus,6.969279480152686,3341,2464,463,125.55845830366736,5.608766345712311,5896,2.83113232951796,1070.1437859646921
24,OnePlus,7.265086897182979,2142,1511,419,216.6767737934935,7.625484156689405,4902,2.533100238659605,1098.7311114042363
25,Samsung,4.759411670090894,1560,3179,241,135.2471903577936,7.480654880050911,5255,2.414705016998087,620.5811369606108
26,OnePlus,5.246933336855408,3360,1330,419,216.7388171131828,7.329717842519733,5700,2.007714452236906,966.3790775633602
